id,english,chinese
34398,"up-market",""
34399,"upmarket","（产品或服务）高端的"
34400,"upon","在…上"
34401,"upper","较高的"
34402,"upper case","（字母）大写的"
34403,"upper class","上层阶级"
34404,"upper-class",""
34405,"upperclassman","（美国大学或中学的）高年级生"
34406,"upper-crust",""
34407,"upper crust","上层阶级"
34408,"uppercut","（拳击中的）上钩拳"
34409,"upper house","（英国）上（议）院"
34410,"upper lip","上唇部位"
34411,"uppermost","最高的"
34412,"uppity","自大的"
34413,"upraised","举起的"
34414,"upright","垂直的"
34415,"upright piano","立式钢琴"
34416,"uprising","起义"
34417,"up-river","往上游"
34418,"upriver","往上游"
34419,"uproar","喧闹"
34420,"uproarious","喧嚣的"
34421,"uproot","使离开久住之处"
34422,"upscale","（产品或服务）高档的"
34423,"upset","心烦的"
34424,"upshot","（通常指意外的）结果"
34425,"upside-down",""
34426,"upside down","倒置地"
34427,"upstage","在舞台后部"
34428,"upstairs","上楼"
34429,"upstanding","品行端正的"
34430,"upstart","（初到某地或初出茅庐却）自命不凡的家伙"
34431,"upstate","州的最边远地区的"
34432,"upstream","逆流地"
34433,"upsurge","飙升"
34434,"upswing","进步"
34435,"uptake","摄入"
34436,"uptempo","（音乐）快节奏的"
34437,"up-tempo","（音乐）快节奏的"
34438,"uptight","紧张不安的"
34439,"up-to-date",""
34440,"up to date","新近的"
34441,"up-to-the-minute","最近的"
34442,"up to the minute",""
34443,"uptown","往(或在)城外"
34444,"uptrend","（市场、经济等的）上升趋势"
34445,"upturn","好转"
34446,"upturned","朝上的"
34447,"upward","向上的"
34448,"upwardly mobile","(在社会地位上)向上流动的"
34449,"upwards","向上"
34450,"upwind","逆风地"
34451,"uranium","铀"
34452,"urban","城市的"
34453,"urbane","有礼貌的"
34454,"urbanization","城市化"
34455,"urbanized","城市化的"
34456,"urban legend",""
34457,"urban myth","城市神话（很多人相信但实际上并不真实的离奇故事）"
34458,"urchin","肮脏而衣着破烂的儿童"
34459,"urdu","乌尔都语（巴基斯坦官方语言之一"
34460,"urge","敦促"
34461,"urgent","紧迫的"
34462,"urge on","鼓励"
34463,"urinal","（固定在墙上的）男用小便池"
34464,"urinary","泌尿的"
34465,"urinate","排尿"
34466,"urine","尿"
34467,"url","统一资源定位器"
34468,"urn","骨灰瓮"
34469,"us","美国"
34470,"u.s.",""
34471,"usa","美国"
34472,"u.s.a.",""
34473,"usable","可用的"
34474,"u.s.a.f.",""
34475,"usaf","美国空军"
34476,"usage","(词的)使用"
34477,"usb","通用串行总线"
34478,"use","用"
34479,"used","过去常常"
34480,"useful","有用的"
34481,"useless","无用的"
34482,"usenet","新闻组网络系统"
34483,"user","使用者"
34484,"user-friendly","（机器、系统等）易操作的"
34485,"user group","用户组"
34486,"usher","引"
34487,"usher in","开启"
34488,"u.s.m.c.",""
34489,"usmc","美国海军陆战队"
34490,"u.s.n.",""
34491,"usn","美国海军"
34492,"usp","（产品、服务等的）独特卖点"
34493,"usu.",""
34494,"usual","通常的"
34495,"usually","通常"
34496,"usurp","夺取"
34497,"usurper","篡夺者"
34498,"usury","高利贷"
34499,"ute",""
34500,"utensil","器皿"
34501,"uterine","子宫的"
34502,"uterus","子宫"
34503,"utilise",""
34504,"utilitarian","功利主义的"
34505,"utilitarianism","功利主义"
34506,"utility","功用"
34507,"utility room","杂用间"
34508,"utility vehicle","越野车"
34509,"utilize","利用"
34510,"utmost","极度的"
34511,"utopia","乌托邦"
34512,"utopian","（计划、想法）空想的"
34513,"utter","发出（声音）"
34514,"utterance","言辞"
34515,"utterly","全然"
34516,"u-turn","U型转弯"
34517,"v","英语字母表的第22个字母"
34518,"vac","（大学的）假期"
34519,"vacancy","（工作或职位的）空缺"
34520,"vacant","未使用的"
34521,"vacate","腾出（空间）"
34522,"vacation","（大学或美国大中小学的）假期"
34523,"vacationer","（在某地）度假的人"
34524,"vaccinate","给…接种疫苗"
34525,"vaccine","疫苗"
34526,"vacillate","犹豫不定"
34527,"vacuity","(思想的)贫乏"
34528,"vacuous","思想贫乏的"
34529,"vacuum","空位"
34530,"vacuum bottle","同vacuum flask"
34531,"vacuum cleaner","真空吸尘器"
34532,"vacuum-cleaner",""
34533,"vacuum flask","保温瓶"
34534,"vacuum-packed","（食品）真空包装的"
34535,"vagabond",". 流浪汉"
34536,"vagary","出乎意料的变化"
34537,"vagina","阴道"
34538,"vaginal","阴道的"
34539,"vagrancy","流浪"
34540,"vagrant","流浪汉"
34541,"vague","（文字或言语）含糊的"
34542,"vaguely","轻微地"
34543,"vain","徒劳的"
34544,"vainglorious","非常自负的"
34545,"valance","（装饰床沿的）挂布"
34546,"vale","谷"
34547,"valedictorian","（中学或大学毕业典礼上）致告别词的优秀毕业生"
34548,"valedictory","（致词、书信或演出）告别的"
34549,"valentine","情人节贺卡"
34550,"valet","（男子的）贴身男仆"
34551,"valiant","勇敢的"
34552,"valid","有根据的"
34553,"validate","证实"
34554,"validity","正当(性)"
34555,"valium","安定(一种镇静药)"
34556,"valley","山谷"
34557,"valour","（尤指战争中的)英勇表现"
34558,"valuable","有价值的"
34559,"valuables","（尤指珠宝等）贵重物品"
34560,"valuation","估价"
34561,"value","重要性"
34562,"value added tax",""
34563,"value judgement",""
34564,"valueless","无价值的"
34565,"valuer","评估师"
34566,"value system","价值体系"
34567,"valve","阀"
34568,"vamp","（利用色相勾引男人的）荡妇"
34569,"vampire","（传说和恐怖故事中在夜间离开坟墓吸食活人血的）吸血鬼"
34570,"vampire bat","(南美的)吸血蝙蝠"
34571,"van","（厢式）中小型货车"
34572,"vandal","（尤指破坏公共财产的）破坏分子"
34573,"vandalise",""
34574,"vandalism","（尤指对公共财产的）故意破坏"
34575,"vandalize","故意破坏"
34576,"vane","（靠风力或水力驱动机器的)翼"
34577,"vanguard","（革命或研究的）前沿"
34578,"vanilla","香草精"
34579,"vanish","消失"
34580,"vanishing point",". 灭点"
34581,"vanity","虚荣(心)"
34582,"vanquish","（彻底）征服"
34583,"vantage point","（便于观察的）有利位置"
34584,"vapid","乏味的"
34585,"vapor",""
34586,"vaporize","（使）汽化"
34587,"vapour","水汽"
34588,"vapour trail","（飞机、火箭或导弹的）雾化尾迹"
34589,"variable","多变的"
34590,"variance","（与…）不一致"
34591,"variant","变体"
34592,"variation","（同一事物略微的）变化形式"
34593,"varicose vein","（腿部的）静脉曲张"
34594,"varied","多种多样的"
34595,"variegated","（树叶或植物）杂色的"
34596,"variety","变化"
34597,"various","各种各样的"
34598,"variously","不同地"
34599,"varnish","（涂在木头或其他材料表面的）清漆"
34600,"varsity","（尤用于修饰体育活动或体育比赛代表队）大学的"
34601,"vary","不同"
34602,"vascular","血管的"
34603,"vase","花瓶"
34604,"vasectomy","输精管切除术"
34605,"vaseline","凡士林"
34606,"vassal","（封建社会的）封臣"
34607,"vast","巨大的"
34608,"vastly","很大程度上"
34609,"vat","增值税"
34610,"vatican","梵蒂冈"
34611,"vatman","增值税税务局"
34612,"vat man",""
34613,"vaudeville","歌舞杂耍表演"
34614,"vault","金库"
34615,"vaunted","被吹嘘的"
34616,"vb",""
34617,"vc","维多利亚十字勋章（授予英国或英联邦军人以表彰其作战中的英勇行为）"
34618,"vcr","录像机"
34619,"vd","性病"
34620,"vdt","同VDU"
34621,"vdu","图像显示器"
34622,"veal","小牛肉"
34623,"vector","矢量"
34624,"veep","（尤指美国的）副总统"
34625,"veer","（突然）转向"
34626,"veg","蔬菜"
34627,"vegan","严格素食的"
34628,"vegeburger","素汉堡（包）"
34629,"vegetable","蔬菜"
34630,"vegetarian","吃素的"
34631,"vegetarianism","素食主义"
34632,"vegetate","过单调无聊的生活"
34633,"vegetated","被草木覆盖的"
34634,"vegetation","植被"
34635,"vegetative","植物人状态的"
34636,"veggie","同vegetarian"
34637,"veggieburger",""
34638,"vehement","激情的"
34639,"vehicle","车辆"
34640,"vehicular","车辆的"
34641,"veil","面纱"
34642,"veiled","间接表示的"
34643,"vein","静脉"
34644,"veined","（皮肤）显出静脉的"
34645,"velcro","维可牢搭链"
34646,"veld",""
34647,"veldt","（南非的）稀树草原"
34648,"vellum","羊皮纸"
34649,"velocity","速度"
34650,"velour","丝绒"
34651,"velvet","丝绒"
34652,"velveteen","平绒"
34653,"velvety","天鹅绒般的"
34654,"venal","贪财的"
34655,"vendetta","宿怨"
34656,"vending machine","自动售货机"
34657,"vendor","小贩"
34658,"veneer","虚饰"
34659,"venerable","（因年高睿智）德高望重的"
34660,"venerate","尊重"
34661,"venereal disease","性病（缩略形式为VD）"
34662,"venetian blind","百叶窗帘"
34663,"vengeance","复仇"
34664,"vengeful","有复仇心理的"
34665,"venison","鹿肉"
34666,"venom","怨恨"
34667,"venomous","恶毒的"
34668,"venous","静脉的"
34669,"vent","通风孔"
34670,"ventilate","使（房间或建筑）通风"
34671,"ventilator","人工呼吸器"
34672,"ventricle","心室"
34673,"ventriloquist","腹语术表演者"
34674,"venture","风险项目（或活动)"
34675,"venture capital","风险资本"
34676,"venture capitalist","风险投资者"
34677,"venturesome","有冒险精神的"
34678,"venue","（事件或活动的）发生地"
34679,"veracity","真实"
34680,"veranda","（房屋外带屋顶的）走廊"
34681,"verandah",""
34682,"verb","动词"
34683,"verbal","口头的"
34684,"verbalize","用言语表达"
34685,"verbatim","逐字逐句地"
34686,"verb group","动词词组（由动词或主要动词与情态动词或助动词连用构成）"
34687,"verbiage","冗词"
34688,"verbose","冗长的"
34689,"verdant","草木覆盖的"
34690,"verdict","（陪审团或法官的）裁决"
34691,"verdigris","铜绿"
34692,"verge","即将"
34693,"verge on","极其接近"
34694,"verifiable","可证实的"
34695,"verify","核实"
34696,"verily","真实地"
34697,"verisimilitude","真实性"
34698,"veritable","真正的"
34699,"verity","真理"
34700,"vermilion","鲜红(色)"
34701,"vermin","（对人类）有害的动物"
34702,"vermouth","味美思酒"
34703,"vernacular","方言"
34704,"verruca","（脚底长的）疣"
34705,"versatile","有多种技能的"
34706,"verse","诗"
34707,"versed","精通的"
34708,"version","变化形式"
34709,"versus","与…相对"
34710,"vertebra","脊椎"
34711,"vertebrate","脊椎动物"
34712,"vertical","垂直的"
34713,"vertiginous","陡峭的"
34714,"vertigo","（从高处俯视产生的）眩晕"
34715,"verve","活力"
34716,"very","很"
34717,"vespers","（某些基督教派的）晚祷"
34718,"vessel","舰"
34719,"vest","贴身背心"
34720,"vested interest","既得利益"
34721,"vestibule","门厅"
34722,"vestige","残余"
34723,"vestigial","残存的"
34724,"vestments","（神职人员在宗教仪式上穿的）法衣"
34725,"vestry","(教堂的）法衣室"
34726,"vet","兽医"
34727,"vetch","巢菜"
34728,"veteran","退伍军人"
34729,"veterans day","（美国的）退伍军人节"
34730,"veterinarian","兽医"
34731,"veterinary","兽医的"
34732,"veterinary surgeon","兽医"
34733,"veto","否决"
34734,"vex","使恼火"
34735,"vexation","恼火"
34736,"vexed","令人烦恼的"
34737,"vhf","（无线电波段）甚高频"
34738,"via","经由"
34739,"viable","切实可行的"
34740,"viaduct","（架于山谷上的）高架桥"
34741,"viagra","万艾可"
34742,"vial","（装香水、药物等的）小瓶"
34743,"vibe","感应"
34744,"vibrant","充满生气的"
34745,"vibraphone","电颤琴"
34746,"vibrate","（使）颤动"
34747,"vibrato","（乐曲中的）颤音"
34748,"vibrator","振动按摩器"
34749,"vicar","（英国国教的）教区牧师"
34750,"vicarage","教区牧师住所"
34751,"vicarious","从他人经验中获得的"
34752,"vice-","（用于级别或头衔前）表示“副的”"
34753,"vice","缺点"
34754,"vice-chancellor","（英国大学中主管学术和行政事务的）校长"
34755,"viceroy","（旧时代表国王、女王或政府统治殖民地的）总督"
34756,"vice squad","（负责扫黄缉赌的）警察缉捕队"
34757,"vice versa","反之亦然"
34758,"vicinity","邻近地区"
34759,"vicious","残暴的"
34760,"vicious circle","恶性循环"
34761,"vicious cycle",""
34762,"vicissitudes","变化"
34763,"victim","受害者"
34764,"victimize","迫害"
34765,"victimless","（犯罪行为）无受害人的"
34766,"victim support","受害者支持措施"
34767,"victor","胜利者"
34768,"victorian","（英国）维多利亚（女王）时代的"
34769,"victoriana","维多利亚（女王)时代的物品"
34770,"victorious","获胜的"
34771,"victory","获胜"
34772,"video","录像节目"
34773,"video cassette","盒式录像带"
34774,"video-conference","视频会议"
34775,"videoconferencing",""
34776,"video-conferencing",""
34777,"video conferencing","视频会议技术"
34778,"video diary","录像日记"
34779,"video game","电子游戏"
34780,"video nasty","暴力录像片"
34781,"video phone",""
34782,"videophone","可视电话"
34783,"video recorder","同VCR"
34784,"video tape",""
34785,"videotape","录像带"
34786,"video wall","（多个电视屏幕连接而成的）电视墙"
34787,"vie","竞争"
34788,"view","观点"
34789,"viewer","电视（节目）观众"
34790,"viewfinder","（照相机的）取景器"
34791,"viewpoint","观点"
34792,"vigil","值夜"
34793,"vigilant","警惕的"
34794,"vigilante","（自发组成的）治安维持会会员"
34795,"vignette","（清晰介绍事物特征的）短文"
34796,"vigorous","（体育活动）剧烈的"
34797,"vigour","体力"
34798,"viking","（8至11世纪的）北欧海盗"
34799,"vile","糟糕透顶的"
34800,"vilify","诬蔑"
34801,"villa","（尤指地中海国家的）度假别墅"
34802,"village","乡村"
34803,"villager","村民"
34804,"villain","歹徒"
34805,"villainous","恶棍似的"
34806,"villainy","恶行"
34807,"vinaigrette","色拉调味汁（用油、醋、盐、胡椒、香草等混合调成)"
34808,"vindicate","证实"
34809,"vindictive","想复仇的"
34810,"vine","藤本植物"
34811,"vinegar","醋"
34812,"vinegary","有醋味的"
34813,"vineyard","（种植酿酒葡萄的）葡萄园"
34814,"vintage","（某优质葡萄酒的）产地和年份"
34815,"vintner","葡萄酒商"
34816,"vinyl","乙烯基"
34817,"viol","六弦提琴"
34818,"viola","中提琴"
34819,"violate","违反"
34820,"violence","暴力"
34821,"violent","暴力的"
34822,"violet","紫罗兰"
34823,"violin","小提琴"
34824,"violinist","小提琴演奏者"
34825,"vip","要人"
34826,"viper","蝰蛇"
34827,"viral","病毒性的"
34828,"virgin","处女"
34829,"virginal","处女般的"
34830,"virgo","室女宫"
34831,"virile","男性的"
34832,"virtual","几乎的"
34833,"virtually","几乎"
34834,"virtual memory","虚拟内存"
34835,"virtual reality","虚拟现实"
34836,"virtue","善行"
34837,"virtuosity","（艺术家、运动员等的）精湛技艺"
34838,"virtuoso","大师"
34839,"virtuous","有德行的"
34840,"virtuous circle","良性循环"
34841,"virulence","恶毒"
34842,"virulent","恶毒的"
34843,"virus","病毒"
34844,"visa","（护照的）签证"
34845,"visage","脸"
34846,"viscera","内脏"
34847,"visceral","出自内心的"
34848,"viscose","黏胶纤维织物"
34849,"viscosity","（液体的）黏性"
34850,"viscount","（英国的）子爵"
34851,"viscountess","子爵夫人"
34852,"viscous","（液体）黏性的"
34853,"vise",""
34854,"visibility","可见度"
34855,"visible","可见的"
34856,"vision","想象"
34857,"visionary","有远见的人"
34858,"visit","看望"
34859,"visitation","（上帝等神灵的）显现"
34860,"visiting fireman","重要客人"
34861,"visitor","访问者"
34862,"visit with","到…处访问"
34863,"visor","（头盔上的）面罩"
34864,"vista","（尤指从高处看到的）景观"
34865,"visual","视觉的"
34866,"visual aid","直观教具"
34867,"visualize","使形象化"
34868,"vis-à-vis",""
34869,"vital","必要的"
34870,"vitality","活力"
34871,"vital signs","（重症病人的血压、体温等）生命体征"
34872,"vital statistics","生命统计"
34873,"vitamin","维生素"
34874,"vitiate","削弱…的效能"
34875,"vitreous","玻璃做的"
34876,"vitriol","尖刻的文字"
34877,"vitriolic","（言行）恶意的"
34878,"vitro",""
34879,"vituperation","责骂"
34880,"vituperative","责骂的"
34881,"viva","（大学的）口试"
34882,"vivacious","活泼的"
34883,"vivacity","活力"
34884,"vivid","（记忆、描述等）生动的"
34885,"vivisection","（动物）活体解剖"
34886,"vixen","雌狐"
34887,"viz.","即"
34888,"v-neck","V形领"
34889,"vocabulary","（某人所掌握的）词汇"
34890,"vocal","大声说出的"
34891,"vocal chords",""
34892,"vocal cords","声带"
34893,"vocalist","（流行乐队中的）歌手"
34894,"vocalize","说出"
34895,"vocals","（流行歌曲的）演唱（部分）"
34896,"vocation","使命"
34897,"vocational","职业的"
34898,"vocative","呼格（词）"
34899,"vociferous","（表达观点时）大声的"
34900,"vodka","伏特加（一种烈性酒）"
34901,"vogue","时尚"
34902,"voice","嗓音"
34903,"voice box","声匣"
34904,"voiced","（发）浊音的"
34905,"voiceless","（发）清音的"
34906,"voice mail","语音信箱"
34907,"voiceover","（电影、电视节目或广告的）画外音"
34908,"voice-over","（电影、电视节目或广告的）画外音"
34909,"void","空白"
34910,"voile","巴里纱（用于制作女装的薄纱）"
34911,"vol.","卷"
34912,"volatile","易变的"
34913,"volcanic","火山的"
34914,"volcano","火山"
34915,"vole","田鼠"
34916,"volition","自愿选择"
34917,"volley","截踢"
34918,"volleyball","排球"
34919,"volt","伏特"
34920,"voltage","电压"
34921,"volte-face","（观点或决定的）大转变"
34922,"voluble","健谈的"
34923,"volume","量"
34924,"voluminous","庞大的"
34925,"voluntary","自愿的"
34926,"volunteer","志愿者"
34927,"voluptuous","体态丰满的"
34928,"vomit","吐"
34929,"voodoo","（西印度群岛人、尤其是海地人信奉的）伏都教"
34930,"voracious","贪吃的"
34931,"vortex","（风或水流形成的）漩涡"
34932,"vote","选票"
34933,"vote down","投票否决"
34934,"vote in","投票选出"
34935,"vote of confidence","（通常指对政府的）信任投票"
34936,"vote of no confidence","（通常指对政府的）不信任投票"
34937,"vote of thanks","致谢词"
34938,"vote out","投票免去…的职务"
34939,"voter","选民"
34940,"vouch",""
34941,"voucher","代金券"
34942,"vouch for","为…担保(或保证)"
34943,"vouchsafe","赐予"
34944,"vow","发誓"
34945,"vowel","元音"
34946,"vox pop","（广播或电视节目中的）公众采访"
34947,"voyage","旅行"
34948,"voyeur","窥淫癖者"
34949,"voyeurism","窥淫癖"
34950,"voyeuristic","有窥淫癖的"
34951,"vs.",""
34952,"v-sign","（手心向内的）V字手势"
34953,"vso","海外志愿服务队（派遣技术人员到发展中国家工作的英国组织）"
34954,"vulgar","粗俗的"
34955,"vulnerable","脆弱的"
34956,"vulture","兀鹫"
34957,"vulva","女阴"
34958,"vying",""
34959,"w","英语字母表的第23个字母"
34960,"wacko","古怪的"
34961,"wacky","古怪的"
34962,"wad","卷"
34963,"wadding","软填料"
34964,"waddle","蹒跚行走"
34965,"wade","(艰难地)涉"
34966,"wade in","(常指不计后果地)介入"
34967,"wade into",""
34968,"wader","涉禽"
34969,"wadge",""
34970,"wadi","(北非或阿拉伯仅雨季有水的)干涸河道"
34971,"wading pool","(供孩子玩耍的)浅水池"
34972,"wafer","威化饼"
34973,"wafer-thin","极薄的"
34974,"waffle","胡扯"
34975,"waft","(使)飘荡"
34976,"wag","摇动"
34977,"wage","工资"
34978,"waged",""
34979,"wage packet","工资袋"
34980,"wager","押(赌注)"
34981,"waggle","（使）来回摇摆"
34982,"wagon","四轮运货马车"
34983,"wagtail","鹡鸰"
34984,"wah-wah","(铜管乐器开或闭所发出的）哇音"
34985,"waif","极瘦弱的人"
34986,"wail","哀号"
34987,"waist","腰"
34988,"waistband","裤腰"
34989,"waistcoat","背心"
34990,"waistline","腰围"
34991,"wait","等待"
34992,"wait around","(长时间地)干等"
34993,"waiter","男侍者"
34994,"wait in","在家等候"
34995,"waiting game","拖延战术"
34996,"waiting list","等候者名单"
34997,"waiting room","等候室"
34998,"waiting-room",""
34999,"wait on","等待（某事发生）"
35000,"waitress","女侍者"
35001,"wait up","等着不睡"
35002,"waive","放弃（合法权利等）"
35003,"waiver","权利放弃"
35004,"wake","醒"
35005,"wakeful","难以入睡的"
35006,"waken","醒来"
35007,"wake up","激起"
35008,"wake-up call","(旅馆等提供的)叫醒电话"
35009,"wake up to","觉察到"
35010,"walk","走"
35011,"walkabout","(国王、女王或其他要人为亲近民众在公共场所进行的)巡行"
35012,"walk away","脱身"
35013,"walk away with","轻松赢得"
35014,"walker","(尤指在乡间休闲或锻炼的)散步者"
35015,"walkie-talkie","无线电对话机"
35016,"walking","(尤指在乡间以休闲或锻炼为目的的)散步"
35017,"walking stick","手杖"
35018,"walk in on","进屋撞见（别人在做私密的事）"
35019,"walk into","(不小心)遇上"
35020,"walkman","随身听"
35021,"walk off with","不经允许就拿走"
35022,"walk of life","行业"
35023,"walk-on","（角色）跑龙套的"
35024,"walkout","罢工"
35025,"walk out","(通常为表示愤怒或厌烦而从会议、演出等)退席"
35026,"walk over","粗暴（或苛刻）地对待"
35027,"walkover","轻易取得的胜利"
35028,"walk-up","无电梯的公寓大楼"
35029,"walkway","(常高于地面的)人行道"
35030,"wall","墙"
35031,"wallaby","沙袋鼠(产于澳大利亚和新几内亚)"
35032,"wall covering",""
35033,"wallcovering","(墙纸等)墙面覆料"
35034,"walled","有围墙的"
35035,"wallet","钱包"
35036,"wallflower","桂竹香"
35037,"wall in","(用墙或障碍)围住"
35038,"wall off","（用墙）隔开"
35039,"wallop","重击"
35040,"wallow","沉溺（于不快的境况）"
35041,"wallpaper","墙纸"
35042,"wall street","华尔街(纽约股票交易所和多家大银行所在地)"
35043,"wall-to-wall","(地毯)铺满整个地板的"
35044,"wall up","砌墙封闭（或堵塞）"
35045,"wally","笨蛋"
35046,"walnut","胡桃"
35047,"walrus","海象"
35048,"waltz","华尔兹舞曲"
35049,"wan","苍白的"
35050,"wand","同magic wand"
35051,"wander","漫步"
35052,"wanderer","流浪汉"
35053,"wandering","流浪的"
35054,"wanderings","漫游"
35055,"wanderlust","漫游癖"
35056,"wane","衰落"
35057,"wangle","用计弄到"
35058,"wank","手淫"
35059,"wanker","笨蛋"
35060,"wanna","要"
35061,"wannabe","效颦者"
35062,"wannabee",""
35063,"want","需要"
35064,"want ad","(报刊等上的)分类广告"
35065,"wanting","不够格的"
35066,"wanton","有意伤害的"
35067,"want out","想要退出(计划、项目等)"
35068,"wap","无线应用协议(手机等可以通过其上网的系统)"
35069,"war","战争"
35070,"warble","(鸟)啭鸣"
35071,"warbler","鸣禽"
35072,"war chest","(为竞选等筹措的)专用资金"
35073,"ward","病房"
35074,"warden","监督员"
35075,"warder","监狱看守"
35076,"ward off","避开"
35077,"wardrobe","衣柜"
35078,"-ware","（与名词连用）表示“…制品”"
35079,"warehouse","仓库"
35080,"warehouse club","批发店"
35081,"warehousing","入库"
35082,"wares","（通常指在街上或集市上出售的）商品"
35083,"warfare","作战"
35084,"war game","军事学习"
35085,"warhead","(炸弹或导弹的)弹头"
35086,"warhorse","(活跃的)老兵"
35087,"war horse",""
35088,"war-horse",""
35089,"warlike","好战的"
35090,"warlord","(国家或组织的)军阀式领袖"
35091,"warm","温暖的"
35092,"warm-blooded","(动物)温血的"
35093,"warm down","(锻炼后)做放松活动"
35094,"warm-down","(锻炼后的)放松练习"
35095,"warm-hearted","热心的"
35096,"warmonger","战争贩子（试图挑起战争的政客）"
35097,"warmth","温度"
35098,"warm up","加热"
35099,"warm-up","准备活动"
35100,"warn","提醒"
35101,"warn away","劝告(…)离开"
35102,"warning","(口头或书面的)警告"
35103,"warn off","警告(…)离开"
35104,"war of nerves","神经战"
35105,"warp","(尤指因受热、受潮而)(使)翘曲"
35106,"war paint","出征前涂在脸上和身上的颜料"
35107,"warpaint","出征前涂在脸上和身上的颜料"
35108,"warpath","盛怒并准备寻衅"
35109,"warplane","战斗机"
35110,"war plane","战斗机"
35111,"warrant","使显得必要(或正当)"
35112,"warrant officer","准尉"
35113,"warranty","保修单"
35114,"warren","兔子窝"
35115,"warring","交战的"
35116,"warrior","(尤指旧时的)勇士"
35117,"warship","军舰"
35118,"wart","疣"
35119,"warthog","疣猪(一种非洲野猪)"
35120,"wartime","战时"
35121,"war-time",""
35122,"war widow","战争寡妇"
35123,"wary","小心的"
35124,"was","(be的第一和第三人称单数过去式）"
35125,"wash","洗涤"
35126,"washable","可水洗的"
35127,"wash away","冲垮"
35128,"wash basin",""
35129,"washbasin","脸盆"
35130,"washcloth","毛巾"
35131,"wash down","(用水)送服"
35132,"washed out",""
35133,"washed-out","(颜色)暗淡的"
35134,"washed-up",""
35135,"washed up","彻底失败的"
35136,"washer","垫圈"
35137,"washing","待洗(或正在洗、刚洗过)的衣物"
35138,"washing line","晾衣绳"
35139,"washing machine","洗衣机"
35140,"washing powder","洗衣粉"
35141,"washing-up","洗餐具"
35142,"washing-up liquid","洗涤液"
35143,"washout","彻底失败"
35144,"wash out","清洗…的内部"
35145,"wash over","没引起…的注意"
35146,"washrag","同 washcloth"
35147,"wash-rag","同 washcloth"
35148,"washroom","盥洗室"
35149,"washstand","脸盆架"
35150,"wash up","洗餐具"
35151,"wasn't","（was not 的常用口语形式）"
35152,"wasp","盎格鲁—撒克逊族裔的白人新教徒（指社会上拥有强大权力和影响力的白人）"
35153,"waspish","尖刻的"
35154,"wastage","浪费"
35155,"waste","浪费"
35156,"waste away","变消瘦"
35157,"wastebasket","同 wastepaper basket"
35158,"wasted","徒劳的"
35159,"waste disposal","（安装在厨房水槽下方的）废物处理器"
35160,"wasteful","浪费的"
35161,"wasteland","荒地"
35162,"wastepaper basket","废纸篓"
35163,"wasting","(疾病)使人消瘦衰弱的"
35164,"wastrel","二流子"
35165,"watch","看"
35166,"watchdog","监察人(员)"
35167,"-watcher","（与名词连用构成新的名词）表示“…观察者”"
35168,"watch for","密切注意"
35169,"watchful","警觉的"
35170,"-watching","(加在名词后构成其他名词)表示“…观察”"
35171,"watchman","巡夜者"
35172,"watch out","小心"
35173,"watch out for",""
35174,"watch over","照看"
35175,"watchtower","瞭望塔"
35176,"watchword","口号"
35177,"water","水"
35178,"waterbed","水床"
35179,"water bed",""
35180,"water bird","水鸟"
35181,"water-borne","（疾病等）经水传染的"
35182,"waterborne","（疾病等）经水传染的"
35183,"water bottle","水壶"
35184,"water buffalo","水牛"
35185,"water butt","(接雨水的)积水桶"
35186,"water cannon","(警察用于驱散人群的)高压水枪"
35187,"water chestnut","荸荠"
35188,"watercolour","水彩"
35189,"water cooler","(尤指办公室里的)饮水机"
35190,"water course",""
35191,"watercourse","河道"
35192,"watercress","水田芥"
35193,"water down","加水稀释"
35194,"watered-down","(提议、言论、声明等）减弱了的"
35195,"watered down",""
35196,"waterfall","瀑布"
35197,"water feature","庭园水景"
35198,"waterfowl","水鸟"
35199,"waterfront","滨水区"
35200,"waterhole",""
35201,"water hole","（沙漠或其他干旱地区动物饮水的）水坑"
35202,"watering can","洒水壶"
35203,"watering hole","酒吧"
35204,"water jump","(障碍赛马中的)水沟障碍"
35205,"waterlily",""
35206,"water lily","睡莲"
35207,"water line",""
35208,"waterline","(船的)吃水线"
35209,"water-logged",""
35210,"waterlogged","（土地等）水涝的"
35211,"water main","总水管"
35212,"watermark","水印（常用于钞票上以防伪）"
35213,"water meadow","河边湿草地"
35214,"watermelon","西瓜"
35215,"watermill","水磨"
35216,"water mill",""
35217,"water pistol","玩具水枪"
35218,"water polo","水球（运动）"
35219,"waterproof","防水的"
35220,"water rate","(英国)自来水费"
35221,"water-resistant","抗水的"
35222,"watershed","转折点"
35223,"waterside","水边"
35224,"water-ski","滑水"
35225,"waterski","滑水"
35226,"water soluble",""
35227,"water-soluble","水溶性的"
35228,"water supply","给水"
35229,"water table","地下水位"
35230,"watertight","不透水的"
35231,"water-tight",""
35232,"water tower","水塔"
35233,"water vole","水鼠"
35234,"waterway","运河"
35235,"waterwheel",""
35236,"water wheel","(水力推动的)水轮"
35237,"waterworks","自来水厂"
35238,"watery","微弱的"
35239,"watt","瓦"
35240,"wattage","瓦数"
35241,"wattle","(用以编筑篱笆及围墙的)枝条构架"
35242,"wave","挥(手)示意(或致意)"
35243,"wave aside","对（建议、解释、想法等）置之不理"
35244,"waveband","(无线电)波段"
35245,"wave down","挥手示意（车辆）停下"
35246,"wavelength","波长"
